epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,5870.58,0.68356,0.51951,0.0056,0.83096,0.79911,0.85393,0.6495,0.97741,0.67321,0.00533,3.69979e-05,3.69979e-05,3.69979e-05
71,5955.94,0.68197,0.51262,0.0055,0.81159,0.80568,0.84691,0.63813,1.01622,0.68195,0.00544,3.18023e-05,3.18023e-05,3.18023e-05
72,6037.29,0.68624,0.51145,0.00543,0.80059,0.81299,0.8467,0.63597,1.01472,0.68237,0.00544,2.70771e-05,2.70771e-05,2.70771e-05
73,6116.65,0.67749,0.50381,0.00535,0.80334,0.80781,0.84351,0.63806,0.98731,0.67887,0.00532,2.28294e-05,2.28294e-05,2.28294e-05
74,6196.72,0.67617,0.50985,0.00536,0.82397,0.79781,0.84909,0.64663,0.96078,0.67249,0.0053,1.9066e-05,1.9066e-05,1.9066e-05
75,6275.86,0.67937,0.50627,0.0054,0.80164,0.82509,0.85567,0.64648,0.99279,0.67076,0.00527,1.57925e-05,1.57925e-05,1.57925e-05
76,6355.02,0.67951,0.50868,0.00529,0.80178,0.81566,0.85084,0.64491,0.98788,0.67024,0.00528,1.3014e-05,1.3014e-05,1.3014e-05
77,6447,0.66905,0.50076,0.00534,0.80576,0.81667,0.8478,0.64197,0.98223,0.6689,0.00529,1.07349e-05,1.07349e-05,1.07349e-05
78,6537.17,0.66958,0.49446,0.00529,0.79368,0.83378,0.85202,0.64756,0.96837,0.65745,0.00525,8.95855e-06,8.95855e-06,8.95855e-06
79,6632.67,0.66958,0.49981,0.00522,0.81446,0.81184,0.85301,0.64861,0.97386,0.6624,0.00527,7.68779e-06,7.68779e-06,7.68779e-06
80,6727,0.67039,0.49714,0.00532,0.7985,0.81161,0.84988,0.64338,0.98294,0.66808,0.00533,6.92455e-06,6.92455e-06,6.92455e-06
